date,headline,listen_link
"February 14, 2025",The 4-Hour Workweek Revisited — The End of Time Management (#795),https://podcasts.apple.com/us/podcast/795-the-4-hour-workweek-revisited-the-end-of-time-management/id863897795?i=1000691893124
"February 5, 2025","Brandon Sanderson on Building a Fiction Empire, Creating $40M+ Kickstarter Campaigns, Unbreakable Habits, The Art of World-Building, and The Science of Magic Systems (#794)",https://podcasts.apple.com/us/podcast/794-brandon-sanderson-on-building-a-fiction-empire/id863897795?i=1000689414620
"January 30, 2025",Seth Godin on Playing the Right Game and Strategy as a Superpower (#792),https://podcasts.apple.com/us/podcast/792-seth-godin-on-playing-the-right-game-and-strategy/id863897795?i=1000686897216
"January 23, 2025",Chris Sacca — How to Succeed by Living on Your Own Terms and Getting into Good Trouble (#790),https://podcasts.apple.com/us/podcast/790-chris-sacca-how-to-succeed-by-living-on-your-own/id863897795?i=1000685149023
"January 18, 2025","Naval Ravikant and Aaron Stupple — How to Raise a Sovereign Child, A Freedom-Maximizing Approach to Parenting (#788)",https://podcasts.apple.com/us/podcast/788-naval-ravikant-and-aaron-stupple-how-to-raise/id863897795?i=1000684308338
"January 13, 2025",MY FIRST BOOK IN 7 YEARS (AND SOME BIG EXPERIMENTS),Not Found
"January 9, 2025",Tactics and Strategies for a 2025 Reboot — Essentialism and Greg McKeown (#786),https://podcasts.apple.com/us/podcast/786-tactics-and-strategies-for-a-2025/id863897795?i=1000683199988
"January 3, 2025","The Random Show — 2025 Predictions (AI, Aliens, BTC, and More), New Year’s Resolutions and Strategies, Smart Fitness, The Spinal Engine, New Apps, and Much More (#785)",https://podcasts.apple.com/us/podcast/785-the-random-show-2025-predictions-ai-aliens-btc/id863897795?i=1000682444752
"December 27, 2024","Dr. Becky Kennedy — Parenting Strategies for Raising Resilient Kids, Plus Word-for-Word Scripts for Repairing Relationships, Setting Boundaries, and More (#784)",https://podcasts.apple.com/us/podcast/784-dr-becky-kennedy-parenting-strategies-for-raising/id863897795?i=1000681789573
"December 18, 2024","The 4-Hour Workweek Revisited – How to Get Uncommon Results by Doing the Opposite, Aiming with Precision, and Aiming for the Unrealistic (#783)",https://podcasts.apple.com/us/podcast/783-the-4-hour-workweek-revisited-how-to-get-uncommon/id863897795?i=1000680843731
"December 12, 2024","Legendary Inventor Danny Hillis (Plus Kevin Kelly) — Unorthodox Lessons from 400+ Patents, Solving the Impossible, Real Al vs. “AI,” Hiring Richard Feynman, Working with Steve Jobs, Creating Parallel Computing, and Much More (#782)",https://podcasts.apple.com/us/podcast/782-legendary-inventor-danny-hillis-plus-kevin-kelly/id863897795?i=1000680031439
"December 5, 2024","David Whyte, Poet — Spacious Ease, Irish Koans, Writing in Delirium, and Revelations from a Yak Manger (#781)",https://podcasts.apple.com/us/podcast/781-david-whyte-poet-spacious-ease-irish-koans-writing/id863897795?i=1000679280681
"November 28, 2024","Cyan Banister — From Homeless and Broke to Top Angel Investor (Uber, SpaceX, and 100+ More) (#780)",https://podcasts.apple.com/us/podcast/780-cyan-banister-from-homeless-and-broke-to-top/id863897795?i=1000678439105
"November 22, 2024",My 2024 Holiday Gift Guide!,Not Found
"November 20, 2024","Q&A with Tim — What’s Next for Me, Asking Better Questions, Career Reinvention in The Age of AI, Practices for Joy, Getting Unstuck, and More (#778)",https://podcasts.apple.com/us/podcast/778-q-a-with-tim-how-to-live-with-urgency-find/id863897795?i=1000677544940
"November 14, 2024","Derek Sivers, Philosopher-Entrepreneur — The Greatest Year of His Life (#777)",https://podcasts.apple.com/us/podcast/777-derek-sivers-philosopher-entrepreneur-the/id863897795?i=1000676840565
"November 7, 2024","Derren Brown — A Master Mentalist on Magic, Mind Reading, Ambition, Stoicism, Religion, and More (#776)",https://podcasts.apple.com/us/podcast/776-derren-brown-a-master-mentalist-on-magic-mind/id863897795?i=1000676082604
"November 1, 2024","No Booze, No Masturbating (NOBNOM) November Challenge",Not Found
"October 30, 2024","Jon Batiste — The Quest for Originality, How to Get Unstuck, His Favorite Mantras, and Strategies for Living a Creative Life (#775)",https://podcasts.apple.com/us/podcast/775-jon-batiste-the-quest-for-originality-how-to-get/id863897795?i=1000675023494
"October 23, 2024","Learnings from 1,000+ Near-Death Experiences — Dr. Bruce Greyson, University of Virginia (#774)",https://podcasts.apple.com/us/podcast/774-learnings-from-1-000-near-death-experiences-dr/id863897795?i=1000674049577
"October 17, 2024","Andrew Roberts on The Habits of Churchill, Lessons from Napoleon, and The Holy Fire Inside Great Leaders (#773)",https://podcasts.apple.com/us/podcast/773-andrew-roberts-on-the-habits-of-churchill/id863897795?i=1000673415871
"October 8, 2024",Never Play It Safe: 7 Levers to Unlock Your Creative Potential,Not Found
"October 4, 2024","Productivity Tactics – Two Approaches I Personally Use to Reset, Get Unstuck, and Focus on the Right Things (#771)",https://podcasts.apple.com/us/podcast/771-productivity-tactics-two-approaches-i-personally/id863897795?i=1000671597379
"September 26, 2024","Elizabeth Gilbert — How to Set Strong Boundaries, Overcome Purpose Anxiety, and Find Your Deep Inner Voice (#770)",https://podcasts.apple.com/us/podcast/770-elizabeth-gilbert-how-to-set-strong-boundaries/id863897795?i=1000670710979
"September 20, 2024","Q&A with Tim — Reinvention, Visualization Techniques, Making “Risky” Decisions, Parenting Considerations, Intuition, New Hobbies, Dating, and More (#769)",https://podcasts.apple.com/us/podcast/769-q-a-with-tim-reinvention-visualization/id863897795?i=1000670173431
